"Accepted Symbol","Synonym Symbol","Symbol","Scientific Name","Native Status","Federal Noxious Status","Federal Noxious Common Name","State Noxious Status","State Noxious Common Name","Invasive"
"ABAB","","ABAB","Abutilon abutiloides","L48(N)PR(N)VI(I)","","","","",""
"ABAU","","ABAU","Abutilon auritum","HI(I)","","","","",""
"ABBE","","ABBE","Abutilon berlandieri","L48(N)","","","","",""
"ABER","","ABER","Abutilon eremitopetalum","HI(N)","","","","",""
"ABFR3","","ABFR3","Abutilon fruticosum","L48(N)","","","","",""
"ABGL","","ABGL","Abutilon glabriflorum","","","","","",""
"ABGR3","","ABGR3","Abutilon grandifolium","L48(I)HI(I)","","","","",""
"ABHI","","ABHI","Abutilon hirtum","L48(I)PR(I)VI(I)","","","","",""
"ABHU","","ABHU","Abutilon hulseanum","L48(N)PR(N)","","","","",""
"ABHY","","ABHY","Abutilon hypoleucum","L48(N)","","","","",""
"ABIN","","ABIN","Abutilon incanum","L48(N)HI(N)","","","","",""
"ABIN3","","ABIN3","Abutilon indicum","L48(I)HI(I)PR(N)VI(N)","","","","",""
"ABINA","","ABINA","Abutilon indicum ssp. albescens","L48(N)","","","","",""
"ABMA3","","ABMA3","Abutilon malacum","L48(N)","","","","",""
"ABMA8","","ABMA8","Abutilon mauritianum","","","","","",""
"ABME3","","ABME3","Abutilon megapotamicum","","","","","",""
"ABME2","","ABME2","Abutilon menziesii","HI(N)","","","","",""
"ABMO2","","ABMO2","Abutilon mollicomum","L48(N)","","","","",""
"ABPA","","ABPA","Abutilon palmeri","L48(N)","","","","",""
"ABPA2","","ABPA2","Abutilon parishii","L48(N)","","","","",""
"ABPA3","","ABPA3","Abutilon parvulum","L48(N)","","","","",""
"ABPE","","ABPE","Abutilon permolle","L48(N)PR(N)","","","","",""
"ABRE","","ABRE","Abutilon reventum","L48(N)","","","","",""
"ABSA2","","ABSA2","Abutilon sandwicense","HI(N)","","","","",""
"ABTH","","ABTH","Abutilon theophrasti","L48(I)CAN(I)","","","CO(CW)IA(SNW)OR(BDW, Q)WA(CAW, NWSPQ)","CO (velvetleaf)IA (butterprint, velvetleaf)OR (velvetleaf)WA (velvetleaf)","KY, N'EAST, NE&GP, STATE, SWSS, WSWS"
"ABTH2","","ABTH2","Abutilon thurberi","L48(N)","","","","",""
"ABTR","","ABTR","Abutilon trisulcatum","L48(N)","","","","",""
"ABWR","","ABWR","Abutilon wrightii","L48(N)","","","","",""
"ACACI","","ACACI","Acacia","L48(I)","","","","",""
"ACEM","","ACEM","Acacia ×emoryana","L48(N)","","","","",""
"ACAB2","","ACAB2","Acacia abyssinica","","","","","",""
"ACABC2","","ACABC2","Acacia abyssinica ssp. calophylla","","","","","",""
"ACAC7","","ACAC7","Acacia acinacea","","","","","",""
"ACAC8","","ACAC8","Acacia aciphylla","","","","","",""
"ACAC9","","ACAC9","Acacia aculeatissima","","","","","",""
"ACAC10","","ACAC10","Acacia acuminata","","","","","",""
"ACAD","","ACAD","Acacia adunca","","","","","",""
"ACAL16","","ACAL16","Acacia alata","","","","","",""
"ACAM9","","ACAM9","Acacia ampliceps","","","","","",""
"ACAN4","","ACAN4","Acacia anegadensis","","","","","",""
"ACAN10","","ACAN10","Acacia aneura","HI(I)","","","","",""
"ACAN","","ACAN","Acacia angustissima","L48(N)","","","","",""
"ACANC","","ACANC","Acacia angustissima var. chisosiana","L48(N)","","","","",""
"ACANH","","ACANH","Acacia angustissima var. hirta","L48(N)","","","","",""
"ACANL","","ACANL","Acacia angustissima var. leucothrix","L48(N)","","","","",""
"ACANS","","ACANS","Acacia angustissima var. shrevei","L48(N)","","","","",""
"ACANS2","","ACANS2","Acacia angustissima var. suffrutescens","L48(N)","","","","",""
"ACAR12","","ACAR12","Acacia arenaria","","","","","",""
"ACAU","","ACAU","Acacia auriculiformis","L48(I)","","","","","FLEPPC"
"ACBA","","ACBA","Acacia baileyana","L48(I)","","","","",""
"ACBE6","","ACBE6","Acacia beckleri","","","","","",""
"ACBE","","ACBE","Acacia berlandieri","L48(N)","","","","",""
"ACBI5","","ACBI5","Acacia binervata","","","","","",""
"ACBO4","","ACBO4","Acacia boomanii","","","","","",""
"ACBR3","","ACBR3","Acacia brachybotrya","","","","","",""
"ACBU3","","ACBU3","Acacia buxifolia","","","","","",""
"ACCA23","","ACCA23","Acacia caesiella","","","","","",""
"ACCA24","","ACCA24","Acacia calamifolia","","","","","",""
"ACCA25","","ACCA25","Acacia cambagei","","","","","",""
"ACCA27","","ACCA27","Acacia cardiophylla","","","","","",""
"ACCA21","","ACCA21","Acacia catechu","","","","","",""
"ACCA35","","ACCA35","Acacia caven","","","","","",""
"ACCH8","","ACCH8","Acacia chinchillensis","","","","","",""
"ACCH","","ACCH","Acacia choriophylla","L48(N)","","","","",""
"ACCI6","","ACCI6","Acacia cibaria","","","","","",""
"ACCO15","","ACCO15","Acacia cognata","","","","","",""
"ACCO16","","ACCO16","Acacia colletioides","","","","","",""
"ACCO24","","ACCO24","Acacia collinsii","","","","","",""
"ACCO","","ACCO","Acacia confusa","L48(I)HI(I)","","","","","HEAR"
"ACCO17","","ACCO17","Acacia conspersa","","","","","",""
"ACCO2","","ACCO2","Acacia constricta","L48(N)","","","","",""
"ACCOC","","ACCOC","Acacia constricta var. constricta","L48(N)","","","","",""
"ACCOP9","","ACCOP9","Acacia constricta var. paucispina","L48(N)","","","","",""
"ACCO18","","ACCO18","Acacia continua","","","","","",""
"ACCO5","","ACCO5","Acacia cornigera","L48(I)","","","","",""
"ACCR2","","ACCR2","Acacia craspedocarpa","","","","","",""
"ACCU4","","ACCU4","Acacia cultriformis","","","","","",""
"ACCU5","","ACCU5","Acacia cupularis","","","","","",""
"ACCY2","","ACCY2","Acacia cyclops","L48(I)","","","","",""
"ACDA5","","ACDA5","Acacia davyi","","","","","",""
"ACDE3","","ACDE3","Acacia dealbata","L48(I)","","","","",""
"ACDE11","","ACDE11","Acacia deanei","","","","","",""
"ACDEP2","","ACDEP2","Acacia deanei ssp. paucijuga","","","","","",""
"ACDE12","","ACDE12","Acacia decora","","","","","",""
"ACDE","","ACDE","Acacia decurrens","L48(I)","","","","",""
"ACDI7","","ACDI7","Acacia dietrichiana","","","","","",""
"ACDI8","","ACDI8","Acacia difformis","","","","","",""
"ACDO2","","ACDO2","Acacia doratoxylon","","","","","",""
"ACDR2","","ACDR2","Acacia drummondii","","","","","",""
"ACDU3","","ACDU3","Acacia dunnii","","","","","",""
"ACEB2","","ACEB2","Acacia eburnea","","","","","",""
"ACEL","","ACEL","Acacia elata","L48(I)","","","","",""
"ACER4","","ACER4","Acacia erioloba","","","","","",""
"ACER5","","ACER5","Acacia erubescens","","","","","",""
"ACES2","","ACES2","Acacia estrophiolata","","","","","",""
"ACEX3","","ACEX3","Acacia extensa","","","","","",""
"ACFA","","ACFA","Acacia farnesiana","L48(N)HI(I)PR(N)VI(N)","","","","","HEAR"
"ACFI4","","ACFI4","Acacia fimbriata","","","","","",""
"ACFL6","","ACFL6","Acacia floribunda","","","","","",""
"ACGA3","","ACGA3","Acacia galpinii","","","","","",""
"ACGE8","","ACGE8","Acacia genistifolia","","","","","",""
"ACGE7","","ACGE7","Acacia gerrardii","","","","","",""
"ACGL5","","ACGL5","Acacia gladiiformis","","","","","",""
"ACGL6","","ACGL6","Acacia glandulicarpa","","","","","",""
"ACGL4","","ACGL4","Acacia glauca","","","","","",""
"ACGO2","","ACGO2","Acacia goetzei","","","","","",""
"ACGR9","","ACGR9","Acacia gracilifolia","","","","","",""
"ACGR","","ACGR","Acacia greggii","L48(N)","","","","",""
"ACGRG3","","ACGRG3","Acacia greggii var. greggii","L48(N)","","","","",""
"ACGRW","","ACGRW","Acacia greggii var. wrightii","L48(N)","","","","",""
"ACHA4","","ACHA4","Acacia hakeoides","","","","","",""
"ACHE8","","ACHE8","Acacia hebeclada","","","","","",""
"ACHE12","","ACHE12","Acacia hemiteles","","","","","",""
"ACHO2","","ACHO2","Acacia holosericea","","","","","",""
"ACHO4","","ACHO4","Acacia horrida","","","","","",""
"ACHO5","","ACHO5","Acacia howittii","","","","","",""
"ACIM4","","ACIM4","Acacia imbricata","","","","","",""
"ACIM5","","ACIM5","Acacia implexa","","","","","",""
"ACIR","","ACIR","Acacia irrorata","","","","","",""
"ACIT2","","ACIT2","Acacia iteaphylla","","","","","",""
"ACIX2","","ACIX2","Acacia ixiophylla","","","","","",""
"ACJI","","ACJI","Acacia jibberdingensis","","","","","",""
"ACJO2","","ACJO2","Acacia jonesii","","","","","",""
"ACKA2","","ACKA2","Acacia karroo","","","","","",""
"ACKO","","ACKO","Acacia koa","HI(N)","","","","",""
"ACKO2","","ACKO2","Acacia koaia","HI(N)","","","","",""
"ACLA10","","ACLA10","Acacia lanuginophylla","","","","","",""
"ACLA6","","ACLA6","Acacia lasiocalyx","","","","","",""
"ACLE7","","ACLE7","Acacia leiophylla","","","","","",""
"ACLI8","","ACLI8","Acacia ligulata","","","","","",""
"ACLI5","","ACLI5","Acacia lineata","","","","","",""
"ACLO","","ACLO","Acacia longifolia","L48(I)","","","","",""
"ACLOS3","","ACLOS3","Acacia longifolia ssp. sophorae","","","","","",""
"ACLO8","","ACLO8","Acacia longissima","","","","","",""
"ACMA","","ACMA","Acacia macracantha","L48(N)PR(N)VI(N)","","","","",""
"ACMA11","","ACMA11","Acacia maidenii","","","","","",""
"ACMA12","","ACMA12","Acacia mangium","","","","","",""
"ACME80","","ACME80","Acacia mearnsii","L48(I)HI(I)","","","HI(NW)","HI (black wattle)","HEAR, STATE"
"ACME","","ACME","Acacia melanoxylon","L48(I)HI(I)","","","","","HEAR"
"ACME8","","ACME8","Acacia mellifera","","","","","",""
"ACMED","","ACMED","Acacia mellifera ssp. detinens","","","","","",""
"ACME6","","ACME6","Acacia merrallii","","","","","",""
"ACMI5","","ACMI5","Acacia microbotrya","","","","","",""
"ACMI6","","ACMI6","Acacia microcarpa","","","","","",""
"ACMI","","ACMI","Acacia millefolia","L48(N)","","","","",""
"ACMO9","","ACMO9","Acacia montana","","","","","",""
"ACMU6","","ACMU6","Acacia mucronata","","","","","",""
"ACMU7","","ACMU7","Acacia multispicata","","","","","",""
"ACMU","","ACMU","Acacia muricata","PR(N)VI(N)","","","","",""
"ACMY2","","ACMY2","Acacia myrtifolia","","","","","",""
"ACNE4","","ACNE4","Acacia neovernicosa","L48(N)","","","","",""
"ACNE8","","ACNE8","Acacia neriifolia","","","","","",""
"ACNI8","","ACNI8","Acacia nigrescens","","","","","",""
"ACNI2","","ACNI2","Acacia nilotica","PR(I)VI(I)","","","","",""
"ACNIA3","","ACNIA3","Acacia nilotica ssp. adstringens","","","","","",""
"ACNIK2","","ACNIK2","Acacia nilotica ssp. kraussiana","","","","","",""
"ACNO5","","ACNO5","Acacia notabilis","","","","","",""
"ACOM","","ACOM","Acacia omalophylla","","","","","",""
"ACOS2","","ACOS2","Acacia oswaldii","","","","","",""
"ACOX3","","ACOX3","Acacia oxycedrus","","","","","",""
"ACPA15","","ACPA15","Acacia pachyceras","","","","","",""
"ACPAN","","ACPAN","Acacia pachyceras var. najdensis","","","","","",""
"ACPA16","","ACPA16","Acacia papyrocarpa","","","","","",""
"ACPA8","","ACPA8","Acacia paradoxa","L48(I)","","","CA(BW)","CA (kangaroothorn)","STATE"
"ACPA81","","ACPA81","Acacia parramattensis","HI(I)","","","","","HEAR"
"ACPA9","","ACPA9","Acacia parvipinnula","","","","","",""
"ACPE8","","ACPE8","Acacia pendula","","","","","",""
"ACPE9","","ACPE9","Acacia pennatula","","","","","",""
"ACPE10","","ACPE10","Acacia penninervis","","","","","",""
"ACPE11","","ACPE11","Acacia pentagona","","","","","",""
"ACPI","","ACPI","Acacia pinetorum","L48(N)","","","","",""
"ACPO2","","ACPO2","Acacia podalyriifolia","L48(I)","","","","",""
"ACPO3","","ACPO3","Acacia polyacantha","PR(I)VI(I)","","","","",""
"ACPOC2","","ACPOC2","Acacia polyacantha ssp. campylacantha","","","","","",""
"ACPR6","","ACPR6","Acacia pravissima","","","","","",""
"ACPR3","","ACPR3","Acacia prominens","","","","","",""
"ACPR4","","ACPR4","Acacia pruinosa","","","","","",""
"ACPU3","","ACPU3","Acacia pulchella","","","","","",""
"ACPY3","","ACPY3","Acacia pycnantha","L48(I)","","","","",""
"ACPY4","","ACPY4","Acacia pyrifolia","","","","","",""
"ACQU2","","ACQU2","Acacia quornensis","","","","","",""
"ACRA5","","ACRA5","Acacia ramulosa","","","","","",""
"ACRE9","","ACRE9","Acacia redolens","L48(I)","","","","",""
"ACRE8","","ACRE8","Acacia rehmanniana","","","","","",""
"ACRE2","","ACRE2","Acacia retinodes","L48(I)","","","","",""
"ACRE4","","ACRE4","Acacia retusa","PR(N)VI(N)","","","","",""
"ACRI10","","ACRI10","Acacia richii","","","","","",""
"ACRI6","","ACRI6","Acacia rigens","","","","","",""
"ACRI","","ACRI","Acacia rigidula","L48(N)","","","","",""
"ACRI7","","ACRI7","Acacia rivalis","","","","","",""
"ACRO5","","ACRO5","Acacia robusta","","","","","",""
"ACRO","","ACRO","Acacia roemeriana","L48(N)","","","","",""
"ACRO6","","ACRO6","Acacia rossei","","","","","",""
"ACRU11","","ACRU11","Acacia rubida","","","","","",""
"ACRU12","","ACRU12","Acacia rupicola","","","","","",""
"ACSA9","","ACSA9","Acacia saliciformis","","","","","",""
"ACSA10","","ACSA10","Acacia salicina","","","","","",""
"ACSA","","ACSA","Acacia saligna","L48(I)","","","","",""
"ACSC2","","ACSC2","Acacia schaffneri","","","","","",""
"ACSCB","","ACSCB","Acacia schaffneri var. bravoensis","L48(N)","","","","",""
"ACSCS2","","ACSCS2","Acacia schaffneri var. schaffneri","","","","","",""
"ACSC","","ACSC","Acacia schottii","L48(N)","","","","",""
"ACSC9","","ACSC9","Acacia schweinfurthii","","","","","",""
"ACSC10","","ACSC10","Acacia sclerosperma","","","","","",""
"ACSC12","","ACSC12","Acacia scleroxyla","","","","","",""
"ACSE6","","ACSE6","Acacia senegal","","","","","",""
"ACSER2","","ACSER2","Acacia senegal var. rostrata","","","","","",""
"ACSE7","","ACSE7","Acacia seyal","","","","","",""
"ACSI7","","ACSI7","Acacia sieberiana","","","","","",""
"ACSIW2","","ACSIW2","Acacia sieberiana var. woodii","","","","","",""
"ACSI5","","ACSI5","Acacia silvestris","","","","","",""
"ACSO4","","ACSO4","Acacia sophorae","","","","","",""
"ACSP9","","ACSP9","Acacia spectabilis","","","","","",""
"ACSP4","","ACSP4","Acacia sphaerocephala","L48(I)","","","","",""
"ACST5","","ACST5","Acacia stenophylla","","","","","",""
"ACST8","","ACST8","Acacia stowardii","","","","","",""
"ACST6","","ACST6","Acacia stricta","","","","","",""
"ACSU9","","ACSU9","Acacia suaveolens","","","","","",""
"ACSU11","","ACSU11","Acacia sublanata","","","","","",""
"ACSU10","","ACSU10","Acacia subulata","","","","","",""
"ACSW2","","ACSW2","Acacia swazica","","","","","",""
"ACTE9","","ACTE9","Acacia terminalis","","","","","",""
"ACTE8","","ACTE8","Acacia tetragonophylla","","","","","",""
"ACTO6","","ACTO6","Acacia tortilis","","","","","",""
"ACTOH2","","ACTOH2","Acacia tortilis ssp. heteracantha","","","","","",""
"ACTOS2","","ACTOS2","Acacia tortilis ssp. spirocarpa","","","","","",""
"ACTO","","ACTO","Acacia tortuosa","L48(N)PR(N)VI(N)","","","","",""
"ACTR6","","ACTR6","Acacia trineura","","","","","",""
"ACUL2","","ACUL2","Acacia ulicifolia","","","","","",""
"ACUN2","","ACUN2","Acacia uncinata","","","","","",""
"ACUN3","","ACUN3","Acacia undulifolia","","","","","",""
"ACUR2","","ACUR2","Acacia urophylla","","","","","",""
"ACVE5","","ACVE5","Acacia verniciflua","","","","","",""
"ACVE2","","ACVE2","Acacia verticillata","L48(I)","","","","",""
"ACVI7","","ACVI7","Acacia victoriae","","","","","",""
"ACVI9","","ACVI9","Acacia viscidula","","","","","",""
"ACVI10","","ACVI10","Acacia visco","","","","","",""
"ACVO","","ACVO","Acacia vogeliana","PR(N)VI(N)","","","","",""
"ACWA3","","ACWA3","Acacia wattsiana","","","","","",""
"ACWI2","","ACWI2","Acacia willardiana","","","","","",""
"ACXA3","","ACXA3","Acacia xanthophloea","","","","","",""
"ACACI2","","ACACI2","Acaciella","L48(N)","","","","",""
"ACAN11","","ACAN11","Acaciella angustissima","L48(N)","","","","",""
"ACANC3","","ACANC3","Acaciella angustissima var. chisosiana","L48(N)","","","","",""
"ACANH2","","ACANH2","Acaciella angustissima var. hirta","L48(N)","","","","",""
"ACGL7","","ACGL7","Acaciella glauca","","","","","",""
"ACLE10","","ACLE10","Acaciella leucothrix","L48(N)","","","","",""
"ACSH2","","ACSH2","Acaciella shrevei","L48(N)","","","","",""
"ACSU12","","ACSU12","Acaciella suffrutescens","L48(N)","","","","",""
"ACAEN","","ACAEN","Acaena","L48(I,N)","","","","",""
"ACEX","","ACEX","Acaena exigua","HI(N)","","","","",""
"ACMY3","","ACMY3","Acaena myriophylla","","","","","",""
"ACNO7","","ACNO7","Acaena novae-zelandiae","L48(I)","","","","",""
"ACPA14","","ACPA14","Acaena pallida","L48(I)","","","CA(AW)","CA (pale biddy-biddy)","STATE"
"ACPI3","","ACPI3","Acaena pinnatifida","L48(N)","","","","",""
"ACPIC2","","ACPIC2","Acaena pinnatifida var. californica","L48(N)","","","","",""
"ACALY","","ACALY","Acalypha","L48(I,N)CAN(N)","","","","",""
"ACAL2","","ACAL2","Acalypha alopecuroidea","L48(I)PR(N)","","","","",""
"ACAM2","","ACAM2","Acalypha amentacea","L48(I)","","","","",""
"ACAMW","","ACAMW","Acalypha amentacea ssp. wilkesiana","L48(I)PR(I)","","","","",""
"ACAMH","","ACAMH","Acalypha amentacea var. heterotricha","L48(N)","","","","",""
"ACAMP2","","ACAMP2","Acalypha amentacea var. palauensis","L48(N)","","","","",""
"ACAR16","","ACAR16","Acalypha arvensis","L48(I)","","","","",""
"ACAU6","","ACAU6","Acalypha australis","L48(I)","","","","",""
"ACBE2","","ACBE2","Acalypha berteriana","PR(N)","","","","",""
"ACBI3","","ACBI3","Acalypha bisetosa","PR(N)","","","","",""
"ACCA3","","ACCA3","Acalypha californica","L48(N)","","","","",""
"ACCH2","","ACCH2","Acalypha chamaedryfolia","L48(N)PR(N)VI(N)","","","","",""
"ACDE4","","ACDE4","Acalypha deamii","L48(N)","","","","",""
"ACGR2","","ACGR2","Acalypha gracilens","L48(N)","","","","",""
"ACHI2","","ACHI2","Acalypha hispida","L48(I)PR(I)","","","","",""
"ACIN12","","ACIN12","Acalypha indica","L48(I)","","","","",""
"ACLA9","","ACLA9","Acalypha lanceolata","L48(I)","","","","",""
"ACME7","","ACME7","Acalypha mexicana","L48(N)","","","","",""
"ACMO4","","ACMO4","Acalypha monococca","L48(N)","","","","",""
"ACMO","","ACMO","Acalypha monostachya","L48(N)","","","","",""
"ACNE","","ACNE","Acalypha neomexicana","L48(N)","","","","",""
"ACOS","","ACOS","Acalypha ostryifolia","L48(N)PR(N)VI(N)","","","","","KY, SWSS"
"ACPH3","","ACPH3","Acalypha phleoides","L48(N)","","","","",""
"ACPO","","ACPO","Acalypha poiretii","L48(N)PR(I)VI(I)","","","","",""
"ACPO4","","ACPO4","Acalypha portoricensis","PR(N)VI(N)","","","","",""
"ACRA","","ACRA","Acalypha radians","L48(N)","","","","",""
"ACRH","","ACRH","Acalypha rhomboidea","L48(N)CAN(N)","","","","",""
"ACSE","","ACSE","Acalypha setosa","L48(N)PR(N)","","","","",""
"ACVI","","ACVI","Acalypha virginica","L48(N)","","","","","N'EAST, SWSS"
"ACWI","","ACWI","Acalypha wilkesiana","L48(I)PR(I)","","","","",""
"ACAMP","","ACAMP","Acamptopappus","L48(N)","","","","",""
"ACSH","","ACSH","Acamptopappus shockleyi","L48(N)","","","","",""
"ACSP","","ACSP","Acamptopappus sphaerocephalus","L48(N)","","","","",""
"ACSPH","","ACSPH","Acamptopappus sphaerocephalus var. hirtellus","L48(N)","","","","",""
"ACSPS2","","ACSPS2","Acamptopappus sphaerocephalus var. sphaerocephalus","L48(N)","","","","",""
"ACANT6","","ACANT6","Acanthocereus","L48(N)","","","","",""
"ACTE4","","ACTE4","Acanthocereus tetragonus","L48(N)HI(I)VI(N)","","","","",""
"ACANT2","","ACANT2","Acanthomintha","L48(N)","","","","",""
"ACDU2","","ACDU2","Acanthomintha duttonii","L48(N)","","","","",""
"ACIL","","ACIL","Acanthomintha ilicifolia","L48(N)","","","","",""
"ACLA2","","ACLA2","Acanthomintha lanceolata","L48(N)","","","","",""
"ACOB","","ACOB","Acanthomintha obovata","L48(N)","","","","",""
"ACOBC","","ACOBC","Acanthomintha obovata ssp. cordata","L48(N)","","","","",""
"ACOBO","","ACOBO","Acanthomintha obovata ssp. obovata","L48(N)","","","","",""
"ACANT3","","ACANT3","Acanthospermum","L48(I)CAN(I)","","","","",""
"ACAU2","","ACAU2","Acanthospermum australe","L48(I)HI(I)","","","","",""
"ACHI","","ACHI","Acanthospermum hispidum","L48(I)HI(I)PR(N)VI(N)CAN(I)","","","","","SWSS"
"ACHU","","ACHU","Acanthospermum humile","L48(I)","","","","",""
"ACANT7","","ACANT7","Acanthus","L48(I)","","","","",""
"ACEB3","","ACEB3","Acanthus ebracteatus","L48(N)","","","","",""
"ACMO8","","ACMO8","Acanthus mollis","L48(I)","","","","",""
"ACPO10","","ACPO10","Acanthus polystachyus","","","","","",""
"ACPOP","","ACPOP","Acanthus polystachyus var. pseudopubescens","","","","","",""
"ACSP7","","ACSP7","Acanthus spinosus","","","","","",""
"ACSY","","ACSY","Acanthus syriacus","","","","","",""
"ACARO2","","ACARO2","Acarospora","NA(N)","","","","",""
"ACAE","","ACAE","Acarospora aeruginosa","NA(N)","","","","",""
